disp_um,F_uniform_uN,F_ccs_uN
2.167224080267558417e+00,-5.788908636819485309e-01,-1.183358727675120292e+00
2.175250836120401043e+00,-5.297598961529743633e-01,-1.122352042358386370e+00
2.183277591973244114e+00,-4.794548191780378943e-01,-1.059800461389158954e+00
2.191304347826086740e+00,-4.279684391009865863e-01,-9.956941091618460860e-01
2.199331103678929367e+00,-3.752935358506519492e-01,-9.300230684964745365e-01
2.207357859531772437e+00,-3.214228631000608516e-01,-8.627773810420222844e-01
2.215384615384615064e+00,-2.663491484392750408e-01,-7.939470476942958044e-01
2.223411371237458134e+00,-2.100650935606154235e-01,-7.235220290270518717e-01
2.231438127090300760e+00,-1.525633744560082050e-01,-6.514922457354899166e-01
2.239464882943143387e+00,-9.383664162488969396e-02,-5.778475790910917453e-01
2.247491638795986457e+00,-3.387752029249924135e-02,-5.025778714067996589e-01
2.255518394648829084e+00,2.732138936239891791e-02,-4.256729265114742589e-01
2.263545150501672154e+00,8.976751197122467829e-02,-3.471225102327579748e-01
2.271571906354514780e+00,1.534682967313187874e-01,-2.669163508877616664e-01
2.279598662207357407e+00,2.184312171541549219e-01,-1.850441397803237464e-01
2.287625418060200477e+00,2.846637708070502981e-01,-1.014955317043302330e-01
2.295652173913043104e+00,3.521734790486306110e-01,-1.626014545240650477e-02
2.303678929765886174e+00,4.209678867587243190e-01,7.067243567087189149e-02
2.311705685618728801e+00,4.910545620633044450e-01,1.593126633320807173e-01
2.319732441471571871e+00,5.624410960549752758e-01,2.496710236484460665e-01
2.327759197324414497e+00,6.351351025092739633e-01,3.417580366649701773e-01
2.335785953177257124e+00,7.091442175977249462e-01,4.355842558294895639e-01
2.343812709030100194e+00,7.844760995975548212e-01,5.311602674661202173e-01
2.351839464882942821e+00,8.611384285987782050e-01,6.284966902478075212e-01
2.359866220735785891e+00,9.391389062092301288e-01,7.276041746684143163e-01
2.367892976588628517e+00,1.018485255257473909e+00,8.284934025147592251e-01
2.375919732441471144e+00,1.099185219494387411e+00,9.311750863391665689e-01
2.383946488294314214e+00,1.181246563293498753e+00,1.035659968932890251e+00
2.391973244147156841e+00,1.264677071350455151e+00,1.141958822800845041e+00
2.399999999999999911e+00,1.306735590791086699e+00,1.195563090957173946e+00
