["port 1","LEFT"]
["port 2","TOP"]
["port 3","RIGHT"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9424053007916666e+014 3.9122578719939067e-004 4.7930396931031973e+000
1.9436544360333331e+014 3.9037818976063817e-004 4.7712302959824324e+000
1.9449035712750000e+014 3.9663505767320811e-004 4.7553809238007974e+000
1.9461527065166666e+014 4.0929313441334197e-004 4.7506951343520978e+000
1.9474018417583331e+014 4.2714562394098680e-004 4.7607855334078462e+000
1.9486509770000000e+014 4.4867094231697280e-004 4.7872862543553136e+000
1.9499001122416666e+014 4.7223629870546798e-004 4.8301458491267679e+000
1.9511492474833331e+014 4.9625364719310791e-004 4.8882207691660300e+000
1.9523983827250000e+014 5.1927402319340695e-004 4.9598384176696015e+000
1.9536475179666666e+014 5.4003385106618637e-004 5.0431920638417864e+000
1.9548966532083331e+014 5.5747192451913185e-004 5.1365678371722003e+000
1.9561457884500000e+014 5.7073083535305906e-004 5.2384536905851666e+000
1.9573949236916666e+014 5.7915056522067252e-004 5.3475804217455609e+000
1.9586440589333331e+014 5.8225781417234356e-004 5.4629302905891386e+000
1.9598931941750000e+014 5.7975251081040700e-004 5.5837350768898073e+000
1.9611423294166666e+014 5.7149216695640697e-004 5.7094765299569916e+000
